1,Terence,Washington,Bambino,5.91,2014-11-05
2,Terence,Washington,Estradanas,10.85,2014-11-26
3,Terence,Washington,Midnight,15.34,2014-11-02
4,Terence,Washington,A Cut Above,8.22,2014-11-04
5,Terence,Washington,China Palace,9.72,2014-11-13
6,Jerry,Mclaughlin,The Amber Cuisine,12.71,2014-11-25
7,Jerry,Mclaughlin,The Mad Oak,15.0,2014-11-21
8,Jerry,Mclaughlin,Aroma,6.42,2014-11-11
9,Jerry,Mclaughlin,The Mockingbird,4.87,2014-11-08
10,Jerry,Mclaughlin,Harvest,13.74,2014-11-29
11,Blanca,Caldwell,Bambino,5.14,2014-11-02
12,Blanca,Caldwell,Aroma,8.86,2014-11-18
13,Blanca,Caldwell,Sapphire,2.65,2014-11-01
14,Blanca,Caldwell,Fluorescence,11.81,2014-11-20
15,Blanca,Caldwell,Bistro Bob,3.87,2014-11-05
16,Beverly,Myers,Fargo,9.15,2014-11-27
17,Beverly,Myers,The Mockingbird,4.04,2014-11-02
18,Beverly,Myers,The Crimson Horse,8.04,2014-11-25
19,Beverly,Myers,The Olive Port,5.44,2014-11-16
20,Beverly,Myers,Irifune Place,9.03,2014-11-28
21,Maxine,Stewart,The Caviar Salmon,3.62,2014-11-27
22,Maxine,Stewart,Burgers and Fries,4.09,2014-11-12
23,Maxine,Stewart,The Mad Oak,13.62,2014-11-03
24,Maxine,Stewart,Chops and Ribs,2.45,2014-11-26
25,Maxine,Stewart,Bambino,5.12,2014-11-14
26,Marlon,Morton,A Cut Above,7.64,2014-11-11
27,Marlon,Morton,Burgers and Fries,5.25,2014-11-23
28,Marlon,Morton,Vietnam Restaurant,9.29,2014-11-27
29,Marlon,Morton,The Crown,6.14,2014-11-30
30,Marlon,Morton,Wiener House,1.87,2014-11-25
31,Leslie,Fields,The Indian Smith,9.34,2014-11-28
32,Leslie,Fields,Bambino,3.83,2014-11-14
33,Leslie,Fields,Starlight,12.96,2014-11-26
34,Leslie,Fields,Irifune Place,8.83,2014-11-01
35,Leslie,Fields,Mary's Diner,2.59,2014-11-18
36,Debra,Nash,The Cool Pizzeria,6.61,2014-11-09
37,Debra,Nash,The Sugar Badger,6.07,2014-11-27
38,Debra,Nash,Harvest,15.49,2014-11-12
39,Debra,Nash,A Cut Above,8.63,2014-11-28
40,Debra,Nash,Starlight,14.28,2014-11-17
41,Chris,Gibbs,Big Daddy Barbeque,5.63,2014-11-12
42,Chris,Gibbs,Mary's Diner,2.89,2014-11-21
43,Chris,Gibbs,Hofbrau Deluxe,7.83,2014-11-07
44,Chris,Gibbs,The Amber Cuisine,12.85,2014-11-17
45,Chris,Gibbs,The Crimson Horse,6.01,2014-11-09
46,Adrienne,Moore,Mary's Diner,2.98,2014-11-10
47,Adrienne,Moore,Big Daddy Barbeque,5.66,2014-11-24
48,Adrienne,Moore,Bambino,5.25,2014-11-04
49,Adrienne,Moore,Interlude,12.28,2014-11-13
50,Adrienne,Moore,The Indian Smith,7.78,2014-11-17
51,Miguel,Welch,Fangs,8.8,2014-11-10
52,Miguel,Welch,Aroma,8.3,2014-11-28
53,Miguel,Welch,Estradanas,8.17,2014-11-19
54,Miguel,Welch,Burgers and Fries,4.16,2014-11-21
55,Miguel,Welch,Hofbrau Deluxe,8.83,2014-11-09
56,Blanche,Flowers,Aroma,11.18,2014-11-08
57,Blanche,Flowers,Ranch House,9.31,2014-11-02
58,Blanche,Flowers,Molinarinari,10.01,2014-11-19
59,Blanche,Flowers,Big Daddy Barbeque,2.26,2014-11-09
60,Blanche,Flowers,Starlight,13.12,2014-11-26
61,Roberto,Wood,Chance,2.85,2014-11-05
62,Roberto,Wood,Mary's Diner,3.25,2014-11-17
63,Roberto,Wood,The Amber Cuisine,12.54,2014-11-04
64,Roberto,Wood,The Amber Lion,4.68,2014-11-24
65,Roberto,Wood,Molinarinari,9.17,2014-11-12
66,Lucy,Patterson,The Sugar Badger,7.18,2014-11-18
67,Lucy,Patterson,Fangs,10.44,2014-11-07
68,Lucy,Patterson,Jean's Place,8.69,2014-11-19
69,Lucy,Patterson,Wiener House,2.09,2014-11-09
70,Lucy,Patterson,Chance,4.54,2014-11-13
